Date,Open,High,Low,Close,Adj Close,Volume
2019-10-17,299.679993,300.239990,298.519989,299.279999,285.208099,45736600
2019-10-18,298.690002,299.399994,297.029999,297.970001,283.959747,64304000
2019-10-21,299.420013,300.209991,298.940002,299.989990,285.884735,39048600
2019-10-22,300.579987,300.899994,298.910004,299.010010,284.950806,48594700
2019-10-23,298.730011,299.940002,298.500000,299.880005,285.779907,34352200
2019-10-24,300.910004,301.070007,299.459991,300.369995,286.246918,35453100
2019-10-25,299.739990,302.200012,299.679993,301.600006,287.419067,45205400
2019-10-28,302.940002,303.850006,302.910004,303.299988,289.039063,42147000
2019-10-29,303.000000,304.230011,302.859985,303.209991,288.953308,44284900
2019-10-30,303.429993,304.549988,301.989990,304.140015,289.839661,49643900
2019-10-31,304.130005,304.130005,301.730011,303.329987,289.067688,69053800
2019-11-01,304.920013,306.190002,304.739990,306.140015,291.745605,71141500
2019-11-04,307.850006,308.000000,306.959991,307.369995,292.917725,60606900
2019-11-05,307.589996,307.920013,306.709991,307.029999,292.593781,42933200
2019-11-06,307.029999,307.399994,306.059998,307.100006,292.660370,46487100
2019-11-07,308.570007,309.649994,307.660004,308.179993,293.689667,54272300
2019-11-08,307.799988,309.000000,307.029999,308.940002,294.413971,49032100
2019-11-11,307.420013,308.540009,307.269989,308.350006,293.851624,35797300
2019-11-12,308.750000,309.989990,308.149994,309.000000,294.471130,46484600
2019-11-13,307.910004,309.540009,307.660004,309.100006,294.566437,53917700
2019-11-14,308.790009,309.640015,308.089996,309.549988,294.995270,51219900
2019-11-15,311.019989,311.839996,310.260010,311.790009,297.129913,62023600
2019-11-18,311.529999,312.279999,311.029999,312.019989,297.349121,49228000
2019-11-19,312.679993,312.690002,311.220001,311.929993,297.263336,67804700
2019-11-20,311.279999,311.850006,309.059998,310.769989,296.157898,79406200
2019-11-21,310.890015,311.010010,309.390015,310.269989,295.681396,54664700
2019-11-22,311.089996,311.239990,309.850006,310.959991,296.338928,44850200
2019-11-25,311.980011,313.369995,311.980011,313.369995,298.635651,48647200
2019-11-26,313.410004,314.279999,313.059998,314.079987,299.312195,37569000
2019-11-27,314.609985,315.480011,314.369995,315.480011,300.646393,44444600
2019-11-29,314.859985,315.130005,314.059998,314.309998,299.531464,36592700
2019-12-02,314.589996,314.660004,311.170013,311.640015,296.987030,75767800
2019-12-03,308.649994,309.640015,307.130005,309.549988,294.995270,73941700
2019-12-04,310.700012,312.119995,310.320007,311.459991,296.815430,49080000
2019-12-05,312.230011,312.250000,310.579987,312.019989,297.349121,40709000
